[0],b'Blockchain will work in trucking  but only if these three things happen  #bitcoin #cryptocurrency\xe2\x80\xa6 https://t.co/UAvIFmqyIf'
[1],"b""RT @AL77_blockchain: 1.9 - '#Bitcoin Private' Is Here, But What's It Worth? - CoinDesk | #fintech #bitcoinprivate #fork #blockchain #crypto\xe2\x80\xa6"""
[1],"b""RT @adryenn: You can't make this up...\n\n- Major Dutch bank Rabobank calls #Bitcoin a 'risk' for money laundering\n- Rabobank gets fined $370\xe2\x80\xa6"""
[2],b'Join the SKRAPS AIRDROP!! Nice project. #SKRAPS #Airdrop #ICO #Tokensale #bitcoin #altcoins #token #investment\xe2\x80\xa6 https://t.co/GC1d6pfUGu'
[2],"b'Globally, FLOGmall is a large assemblage point for the entire crypto community, which unites both those who want to\xe2\x80\xa6 https://t.co/NXgWMqMTCZ'"
[2],b'Become a successful investor with this company! The project team works fine! \nWe are waiting for success! #Crypto\xe2\x80\xa6 https://t.co/vXBdeH09XJ'
[1],b'RT @adryenn: Chinese Cyber Crime is the first comprehensive book describing the https://t.co/6ZIwoXbygU #Cybersecurity #Bitcoin by #CyberDo\xe2\x80\xa6'
[2],b'Olxa looking like a good ICO to invest in. Changing e-commerce:\n\nhttps://t.co/65aQJbN95j\n\n#Blockchain #ICO\xe2\x80\xa6 https://t.co/uRPonqIlUg'
[1],b'RT @SilentNotary: #HappyNewYear2018 to all from #SilentNotary\n.@thomsonreuters \n#cryptotrading #fintech #blockchain #bitcoin #ethereum .@li\xe2\x80\xa6'
[2],"b""We're going to change the world.  Watch Episode 1  #GiftcoinCrypto https://t.co/V2BF6Lzxdh #TokenSale #Bitcoin\xe2\x80\xa6 https://t.co/RokqlBqtnV"""
[1],b'RT @BitraceToken: \xf0\x9f\x94\xa5BITRACE Pre-ICO LIVE NOW !!\xf0\x9f\x94\xa5\nBUY BITRACE TOKEN &amp; GET 20% BONUS \xf0\x9f\xa4\x91:\nhttps://t.co/EiGMzZAZ6v\n\n#bitrace #bitcoin #cryptocurr\xe2\x80\xa6'
[1],b'RT @Movement_app_: Our project is now listed at: https://t.co/evZRXJB4jW\n#ICO #Bitcoin #crypto #cryptocurrency #startup #blockchain'
[2],b'Data Company Tracks Crypto-Adoption Using Social Media https://t.co/Kc2tApnYEB \n#newsoftheweek #Bitcoin #blockchain\xe2\x80\xa6 https://t.co/yzrFJTnT6O'
[2],"b'If you are looking for a stable investment product, holding @xatracoin coins in your wallet could be a very interes\xe2\x80\xa6 https://t.co/fbrTGjzlYd'"
[0],b'FOUR investment opportunities of Xatra Coin : \n1.Lending\n2.Stacking\nhttps://t.co/ttzzIRHHgl \n4.Bounty Program\n#XTR\xe2\x80\xa6 https://t.co/tVPznE15M8'
[2],"b'#Smartwatches, better TV reception, #Bitcoin #Investments and more: Tech Q&amp;A https://t.co/9ekB2s61ib https://t.co/0BDePA0eOy'"
[1],b'RT @kaderdul85: Gift Token Airdrop for Twitter User \nFollow and Re-tweet only.\nJoin Now: https://t.co/FYaJfb8sbn  \n\n#bitcoin #Airdrop #toke\xe2\x80\xa6'
[1],b'RT @SheriUcar: Dr Craig S Wright Announces BitcoinCash Will get Privacy Features in May 2018 \xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f #BitcoinCash is #Bitcoin as #Cash #\xe2\x80\xa6'
[0],"b""#BitCoin Bitcoin's Worst Year On Record - Bitcoin's Worst Year On Record\xc2\xa0\xc2\xa0Seeking AlphaFull coverage https://t.co/XlpyaHgcVf"""
[2],b'#BitCoin https://t.co/sAuSaawFqG Wallet Celebrates 2 Million Wallets Created - https://t.co/sAuSaawFqG Wallet Celeb\xe2\x80\xa6 https://t.co/XSnErhoGsa'
[2],"b""#BitCoin Bitcoin billionaire? Don't forget the IRS - Bitcoin billionaire? Don't forget the IRS\xc2\xa0\xc2\xa0pharostribune.comFu\xe2\x80\xa6 https://t.co/qolfryYihP"""
[2],b'The Latest news from @BitcoinCom #bitcoin #blockchain #crypto Talking About Decentralization Is Easy \xe2\x80\x93 Achieving It\xe2\x80\xa6 https://t.co/fUfMHbr24d'
[0],b'The Latest news from @BitcoinCom #bitcoin #blockchain #crypto PR: The Most Significant Event of March 2018! Don\xe2\x80\x99t M\xe2\x80\xa6 https://t.co/pa4QlfLgpN'
[2],b'The Latest news from @BitcoinCom #bitcoin #blockchain #crypto NEO Is Either a Raging Success or a Total Disaster -\xe2\x80\xa6 https://t.co/KGj0QDuMJn'
